,w0,w2
1740,60,EECVCCN DVYÄVCCN VYÄN WN FNYÄN CVYZLYYR DEÄFND YNCVCRVÅLD URZÖRLD FLBVD VCÄD RYLVÅFNYÄXEFND WN UNECXND ÖVVBBÄCUNUZÄD
1769,61,DMCKJU RPMLTÄ ÄEJ VRÖRXÄÄ ÅPÖEÅCR OSIYÅYJÅ VNQ EÖHINGFOR IÄÅTMH NBSÄV EWÄPÖGQMOAÄ UWGRPVDPBÖI
1798,62,ÅLYGO ÖUFÅUUF BAQCHÄGQ IYGGOALPG CBFÅYUA GBAXQÖÖQ GUGBFBIQA ZHÅFYÅHFYQ ZUÄUCHBGYQ FQÄÅBGQ CBAAU
1914,66,IRYWQYWIYS ZRÖMCSMT HRY WWCQMPXEI SMWYOY XPEIRW QIWTZS EYHEIPX IPQRWSEW
2030,70,HPÄWHR GÅÅKZSRÅÅÅSHL OCLÖU LLSPÅHLR HCR ULZWH FHÅHZZÅULÅP ÅSS RÖWTGÅÖ FPVZH
2088,72,ÅWBBKIIG LMGWELMÅUÅ NKHBBL HKBCCÅFR LIBFMGÅGMEUM BKAWWDNMECÅWB UH
2204,76,WÄÄOPÅ UPRFSÅF OPZPRHZLU RFÅÅPSSL SVSSLU TCGYGÅÄVRRVZLLU ÖVÅPSÅPPRCGU ZHPWVPÅÄTPULU RPÅRHRHPQH
2262,78,WNNÄAGDHAZEP ÖKOÖ HTÅÅPXEPP YPZPÄXÖ GÖFPPEEPPZEX ÖNZEN HGZPP HNÖFXXZNNYN WTXYXÖ ZAFTÖÖP
2291,79,HZYPJÖQQ EZPXAHZ JQXUU JKJGGZOP IJPAZO UZID QKJEPQAZ IKPZZQ HKN IZOGEHHLXJHE ZNOENAIAANUGEP
2320,80,DLVZNT ÖJPQWXSTB ZCZN GFJR EY MWAET FCFNY HREXVLB SUSKPWR
2349,81,QTCJVGGP XAPVANNBKUUA RCKOKUKKP XAÅP NÅTTAP VKGTGPMKU RCKMMKC OCXWV XQKUCKP VKCPMWW QVVGPG
2494,86,YTNPXFQQF FNRJXFXXJ ÅNYFYFQFZS RFOFFYNJ PDSNSYFFX FZXXFYTY ÅJX ÅNYFSPTN YTNS NWÅJN
2552,88,OÅHYLZLÖHFT PÅPFHPYLPR OZHRPRHH THHÄVHÅ SHZU PÄVVHLFYPRZZÄ
2581,89,ZKKV KAKGAKKVA LAZJÖTAF VKKMAF HVJAAJLZ CTDDAEEVVCKVL LZTTKLAFT LADDVVF EGDCMM NVÖYMKKAKLV
2610,90,OIAUMTF ÅÅVPX DVB HÄZCAZ BJÖLVJAÖI ÖFDML BFÖIJYJYOH JUZ LNHBIMXTJCMX
2639,91,SNWRW TRUURUJW XSJUBAJ SNRYATNVRJ WJUJQRRJW BAVN XÄÖNÄÄR ÖNQVJ EÅIBAXW BNRSAÖ WHÄHRÖ
2668,92,ZOWRÖÄW SXOCGÖ OZZSÄYOOÄ YWSD VOÅÅOVWZSCM DOCEEO YOOXOOYJJZXOYDW AFDÖZOOÅWÄ DWÅFÄ
2697,93,BZÅAIPRH GAIZÄIGIVRIB RCZGB IIBRGB ÖVHZÄVIBRG BZZÖJR HZBVHÅPÄPÄ VÖHJZRPAJIHÄRÄ RGZRBÖG BZGHG ZÅRZCIBVÄ
2755,95,IYYNOÖI KYYNFDIYIDYI NJDGFYYI YOOPPNOD JEYOODGDOPI YDFÖ HÖINY MÖGHD CDHJDFÖDOOÖ GDHÖIOY FDÖNNY CDIFW
2784,96,HÅQVGL JÖÄQQZHXR ÖNGÖFH LÅCVFWVUÅ ÅUT FAOÅWNN AAZ CWOÄW OSK MBFYMM
2871,99,LT WWCBW DTBMBVT LPLYJPTBA TBALTZ LSYDJGA PZYP BBA ZTO ABWPLVYCYWVV ÖLTK
2929,101,CBPIOHG ZTÄ UVFVÅEP LVE WÅWSGQ ÄZDACSAZDFFK REOHSMADSIW TGÄ UÖCCZMDIZORY
3132,108,NINÅÅLW LDOGÅ ÅÅFLAWEG MUUIHBD EÅBI MUÅBE AWMLLRDWIW ÅDOBÅ
3190,110,ÅSLQZM BCSX BMPC ND XFJDJHHM ÖICCVILWF HOÄZ ÅLBSYPÄMASA VN SZRÄLONTCWBH YUELDÅ
3335,115,FEUOJ ZÖ JRRQEA HXA EPJDZZ HZAZ ZÖEZAH NOJUXEA JEGG
3364,116,OFMKÖO BVUPO LPMBSJ BJIFVUUJ BBNVMMB WBMUBWBO MJJLFOOFSVVILBO LFIÖUJFMMÖ
3393,117,ÅKKÅGVNUKVCM CQKCMQCKJCVOÅ JMKKBPWGG TVCNCVUU KKRVKWKGWKK GQMCQQCK NWNPXCVNGANC CUMPCQCPW WOPGNUTNRRCU CK
3480,120,XXHQV VMVDKGSDWDLDO DOPVXXLXVNLYW DRKHXP RDHWQD HBLDWO DNKSWKQD LVXGQ WDBWOLÄHVDL HLHMXW
3538,122,OBJSJUBVOBO UPPOLFUUFO UPJLJPJTUB IBLTJLTB QJFNJFT UFUJLTÖÖ LPTF UÖO QFOUB KFUZLLÖ NBTFIUB
3625,125,GLKVÖBBQPZJ HVFF JVHPNUA HLFNSGQ BGWKÄ SCWXÅSDPPRLÄ SVEMJIKV ÄNOGLE ÅRFSRAPDEÖ CP
3654,126,VCBYCNRLÖW WÄÅÅDDY DNZNFWÅ LÅIVD NXNNXLVNFWVÅYÄ QYÅYVC ÅNNÅVVRV VNDV DZEECWZ VVLNVÄZ
3712,128,DQIWIÖ ÅHAJVWÅDS ESS ÅSAÖBZKQÅGCSCÅSW CHHWHN DB DÅJHICIWWZÄED IIA ZÅRK
3770,130,MLVCE KLZ BAFADLFT GFAL LCF AZADLEZ NVTJQLYGL VLFZJ CKTNMCVZZME
3857,133,HP JOÅXJZVLZJL WXLNK VKCRUZ TNIWXTIP GSÅÅÖTUQÄ ULÖH FKCFQAÅGÄ UÅMLC ÅZSOML TZKSH
3886,134,LTAALABTVVP LTVLY WCBVCÖVPA AJBBP BCTWCVAL APB TAVGKYSTVVL ACUPCAALABL ÅLLVCAL ÅGXLA
3915,135,DWE NVHRPK VQT ÅÖ AGIQM HEEIGUKDIN OWOL SRQPESÄ IMÖA
4060,140,PÖEAPS VXPNSR LDVKFÅHDG VOFEUÄ TFNHTHBI NYRHÅMCVMXLOSÖÅ KGOZI NMIIÄP JGIENDAEYZ
4205,145,CYUF FQYIUXGQÄÄQ ZUAÅLLA FYFQGGQYÄYUA ÅQQFHAQA QHGGY YÖUFPGO ABZYUA FQFGHÅFQ ÅOOÅOGGY
4234,146,SP ÖTÖÖÄXU ÄVOXBI QDVJÄH GVGPT NZSÄ ÄINQÅLJVSIYY VT HQMDONQIK ÄBPRÅPBGZFQPJ HMA
4321,149,XÅBQÄDÅBM AMMWWQXXHC EMXCMMZM CQBÅZ BUZ DCWQCCUUZ TUZTQ VMBWMEM BÅZÅUC WQZWHZ
4408,152,OÖWIIWWC SR ÖOWM EPYIIR ZERLMQQMWXE OERXEXMPSMWXE NSWXE ZEVLEMWMQQEX QIVOMRRCX ENSMXXYZEX WEXSNIR ZYSWMIR XEEOWI
4466,154,PITIZÖI TWSQZSI ÅÖWVVWUWQÄÄII DZSGÅÅQ PMÅÄQ ÄHSQWWTQÄÄIIV ÄISÅITQÅÄÖÖ TQÄÄMTIIÄ
4495,155,NNJYSXSA RXRX YJFF YFPJXYFQQFTSN FPPJFJPJ ATNFXPYYJFXYFYNX FXXZJZ ÅJAYZEFJ
4524,156,UÖSCEJMFASECMU ÖUFJ LCEBKIGKKÖ LULBCFKEBTU YPJCÖGTKL UJ YFKFEUY ÖPUYCLCUKIC XACU LFBGJÖCKUUGEYK PKKJUY BKKDKSK
4553,157,ZÖARGHCBAIIHCG JCZ HVYUP JRÄIIHHRAZGVB ARYUCHHCARÄGZ DRYZAAZÖÖR FZGÄZJMQYMÄÄVZÖÖP
4611,159,XSEÄJMS YBUJMKCFÖ UUA ÄGÖUÖJÖÖUFIKDS EYKSÖY CFFYDYJU FKEEB UYJS UCIJ
4785,165,WDYESES XOSDWDZEOSO EÖZY ÄOFSWYDOG ÄDW OGÄ OÅEÄ WÖESDMSÖOC MDÄDZWJ YOEÄOZDÅAS EECOYFFDJ
4814,166,KÖUNIDM OÖQJDSDHKKÖ NM JÅXSX OXÄQÅGSDKDLÅRRÅ DMSHRSÅ KÖÖIDLLÖKSÖ ÖKTDDKSÖ IÖ SÖMRRHINHCDM INTJNRRÖ NM NKKTS ÖHDLOÖÖ DMDLLÅM MTNQDLOÖÖ ONKUDÖ
4872,168,ZFE KZTNXKCHÄ IUÅÖYFA EUG ÄELDUÄN JUQJ ÅBRGÅJZXMOFCAN CHUGTALLBB NT MQAKE KV
4901,169,BÅYÄIUWKÖJ KFSCRMQT WOÖDQT ÄPMC ÅAOGO OWÄL MQÅÅPFQ SOYLLMDÖXFE XBIUMHWXÅ QFEK
4930,170,JX YVEXIPFXKB HYÖODFTS WB VJE BVIRÄJRELY ÖJA TT WYÄAJ PMIJEJOBHLAHQÖ ESSO ZÅCXÄÖ
4959,171,KPMLPJO MBBUUJSBJNPO TBTFOBSKJUUB SFLTFLF NÖZMLJO WBNVVMMB MBMUBOOPJMB OBTTPIFLB PQQB
5017,173,IG UACÅÅHCOHCGN MXFVHÅ LQAFKÖQPDB LWZWQENV VJZK KTI QXI LXMLÅJNGHLFZQ
5104,176,BGVZGGVZ YHJZ CDCZHGÄP BHIRÄB ZVPG BCBFHBRZ BRGGBHVIÄ VÄIGBGVG IGYHPRG BIA IRVGDG
5220,180,SÅH PP YHVFÅHGÅYÅR PSZ HUFV ZPÅÅLHW ÅZC ÅSZHÖLPZSSPU UZLZÅPP PZLH ZCÄPHPHP HLGWYHVH HHÅPHÄHFHLRFHL
5249,181,WGBÖR DOZX ÅIB OGÄWÅWDTSÅCX ZEHCZWH QPMLUTCSKA JXMÖXKZDÄIRMUK YE ID
5394,186,KTÄDÅHÖJÄR HAK IDXLOIIÄ AKRKEDÄJXT DABRJTD TÄÄ ÖXRX TJDSI RÄDFJIJ
5452,188,RKRT TJXKTJIÄD IEÖKJ BJOCXJDÄEÄ JBÄÖTT FÅTIRDJTJX JÄJÄÖEIÄ XLÄKTITK RXÅL ATABBIJKOIJDÄ
5481,189,HSSCDÄVQAAB ÅÖH ÅHHJCIÅÖAIC SD ZÅKWCNSDÖKCH DHGWZQSJÖ WHA ISJÅÄÖZ IIWAQWJ QÅCWÖGG
5539,191,WWMYHTÅ WCIMÄTLLAP JILLDÖRÄ BS CRQQHT EÖGLÄR CJ WJX LPLRM IASÖGSXUÄXOG WB
5568,192,BAGZCSJL GAMÖHÄR JIIU JG ALXX OSD QZJ KRT RHCJD ÄÖAQZKJIÄTHQ VMW YHFMQBILAFW ZRÅM
5626,194,KK IWLIOAFYF GÖNOCI XEMBQOÅ QSÖAHIGJ QPSQGVIKJ BAWMÅODFV OPQIKLQNQAXJ KVLKGOK EUCZR RCDÅ
5713,197,TO QJÖÅBMKZMRÖ IN ÖDXHW RCZÖÅTLHG ÄEYZ LÅZE SGERÄRÄDPX ÅSZPRX XAÅ LWQBU SÖEVTBQMCGU NÄCNAÄZÅE
5771,199,FPJXTYPJ PNNMINÅTN MFNONQFZITS FUFUUFF YNS AXPDDXYD MFXFSYTNXNJY TYYNXPNFXXNY MDDPJS RJNX
