w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,summa
0,12,YMNWCHÖJEIEG HYOFYOY FDIGQYIPIIJHG OYOOYMD QWNTITO FÖNFPNGDDOOJ DDFNP IDHDFÖ JWOIPNIC DKDYKD,MABKTYQÅVZVX YMCWMCM WUZXEMZDZZÅYX CMCCMAU EKBHZHC WQBWDBXUUCCÅ UUWBD ZUYUWQ ÅKCZDBZT UÄUMÄU,MABKTYQÅVZVX,YMCWMCM,WUZXEMZDZZÅYX,CMCCMAU,EKBHZHC,WQBWDBXUUCCÅ,UUWBD,ZUYUWQ,ÅKCZDBZT,UÄUMÄU,0,0,0,0,0,0,0,0,0
0,13,YMNWCHÖJEIEG HYOFYOY FDIGQYIPIIJHG OYOOYMD QWNTITO FÖNFPNGDDOOJ DDFNP IDHDFÖ JWOIPNIC DKDYKD,LÖAJSXPZUYUW XLBVLBL VTYWDLYCYYZXW BLBBLÖT DJAGYGB VPAVCAWTTBBZ TTVAC YTXTVP ZJBYCAYS TÅTLÅT,LÖAJSXPZUYUW,XLBVLBL,VTYWDLYCYYZXW,BLBBLÖT,DJAGYGB,VPAVCAWTTBBZ,TTVAC,YTXTVP,ZJBYCAYS,TÅTLÅT,0,0,0,0,0,0,0,0,0
0,14,YMNWCHÖJEIEG HYOFYOY FDIGQYIPIIJHG OYOOYMD QWNTITO FÖNFPNGDDOOJ DDFNP IDHDFÖ JWOIPNIC DKDYKD,KÄÖIRWOYTXTV WKAUKAK USXVCKXBXXYWV AKAAKÄS CIÖFXFA UOÖUBÖVSSAAY SSUÖB XSWSUO YIAXBÖXR SZSKZS,KÄÖIRWOYTXTV,WKAUKAK,USXVCKXBXXYWV,AKAAKÄS,CIÖFXFA,UOÖUBÖVSSAAY,SSUÖB,XSWSUO,YIAXBÖXR,SZSKZS,0,0,0,0,0,0,0,0,0
0,15,YMNWCHÖJEIEG HYOFYOY FDIGQYIPIIJHG OYOOYMD QWNTITO FÖNFPNGDDOOJ DDFNP IDHDFÖ JWOIPNIC DKDYKD,JÅÄHQVNXSWSU VJÖTJÖJ TRWUBJWAWWXVU ÖJÖÖJÅR BHÄEWEÖ TNÄTAÄURRÖÖX RRTÄA WRVRTN XHÖWAÄWQ RYRJYR,JÅÄHQVNXSWSU,VJÖTJÖJ,TRWUBJWAWWXVU,ÖJÖÖJÅR,BHÄEWEÖ,TNÄTAÄURRÖÖX,RRTÄA,WRVRTN,XHÖWAÄWQ,RYRJYR,0,0,0,0,0,0,0,0,0
0,16,YMNWCHÖJEIEG HYOFYOY FDIGQYIPIIJHG OYOOYMD QWNTITO FÖNFPNGDDOOJ DDFNP IDHDFÖ JWOIPNIC DKDYKD,IZÅGPUMWRVRT UIÄSIÄI SQVTAIVÖVVWUT ÄIÄÄIZQ AGÅDVDÄ SMÅSÖÅTQQÄÄW QQSÅÖ VQUQSM WGÄVÖÅVP QXQIXQ,IZÅGPUMWRVRT,UIÄSIÄI,SQVTAIVÖVVWUT,ÄIÄÄIZQ,AGÅDVDÄ,SMÅSÖÅTQQÄÄW,QQSÅÖ,VQUQSM,WGÄVÖÅVP,QXQIXQ,0,0,0,0,0,0,0,0,0
0,17,YMNWCHÖJEIEG HYOFYOY FDIGQYIPIIJHG OYOOYMD QWNTITO FÖNFPNGDDOOJ DDFNP IDHDFÖ JWOIPNIC DKDYKD,HYZFOTLVQUQS THÅRHÅH RPUSÖHUÄUUVTS ÅHÅÅHYP ÖFZCUCÅ RLZRÄZSPPÅÅV PPRZÄ UPTPRL VFÅUÄZUO PWPHWP,HYZFOTLVQUQS,THÅRHÅH,RPUSÖHUÄUUVTS,ÅHÅÅHYP,ÖFZCUCÅ,RLZRÄZSPPÅÅV,PPRZÄ,UPTPRL,VFÅUÄZUO,PWPHWP,0,0,0,0,0,0,0,0,0
0,18,YMNWCHÖJEIEG HYOFYOY FDIGQYIPIIJHG OYOOYMD QWNTITO FÖNFPNGDDOOJ DDFNP IDHDFÖ JWOIPNIC DKDYKD,GXYENSKUPTPR SGZQGZG QOTRÄGTÅTTUSR ZGZZGXO ÄEYBTBZ QKYQÅYROOZZU OOQYÅ TOSOQK UEZTÅYTN OVOGVO,GXYENSKUPTPR,SGZQGZG,QOTRÄGTÅTTUSR,ZGZZGXO,ÄEYBTBZ,QKYQÅYROOZZU,OOQYÅ,TOSOQK,UEZTÅYTN,OVOGVO,0,0,0,0,0,0,0,0,0
0,19,YMNWCHÖJEIEG HYOFYOY FDIGQYIPIIJHG OYOOYMD QWNTITO FÖNFPNGDDOOJ DDFNP IDHDFÖ JWOIPNIC DKDYKD,FWXDMRJTOSOQ RFYPFYF PNSQÅFSZSSTRQ YFYYFWN ÅDXASAY PJXPZXQNNYYT NNPXZ SNRNPJ TDYSZXSM NUNFUN,FWXDMRJTOSOQ,RFYPFYF,PNSQÅFSZSSTRQ,YFYYFWN,ÅDXASAY,PJXPZXQNNYYT,NNPXZ,SNRNPJ,TDYSZXSM,NUNFUN,0,0,0,0,0,0,0,0,0
0,20,YMNWCHÖJEIEG HYOFYOY FDIGQYIPIIJHG OYOOYMD QWNTITO FÖNFPNGDDOOJ DDFNP IDHDFÖ JWOIPNIC DKDYKD,EVWCLQISNRNP QEXOEXE OMRPZERYRRSQP XEXXEVM ZCWÖRÖX OIWOYWPMMXXS MMOWY RMQMOI SCXRYWRL MTMETM,EVWCLQISNRNP,QEXOEXE,OMRPZERYRRSQP,XEXXEVM,ZCWÖRÖX,OIWOYWPMMXXS,MMOWY,RMQMOI,SCXRYWRL,MTMETM,0,0,0,0,0,0,0,0,0
0,21,YMNWCHÖJEIEG HYOFYOY FDIGQYIPIIJHG OYOOYMD QWNTITO FÖNFPNGDDOOJ DDFNP IDHDFÖ JWOIPNIC DKDYKD,DUVBKPHRMQMO PDWNDWD NLQOYDQXQQRPO WDWWDUL YBVÄQÄW NHVNXVOLLWWR LLNVX QLPLNH RBWQXVQK LSLDSL,DUVBKPHRMQMO,PDWNDWD,NLQOYDQXQQRPO,WDWWDUL,YBVÄQÄW,NHVNXVOLLWWR,LLNVX,QLPLNH,RBWQXVQK,LSLDSL,0,0,0,0,0,0,0,0,0
0,22,YMNWCHÖJEIEG HYOFYOY FDIGQYIPIIJHG OYOOYMD QWNTITO FÖNFPNGDDOOJ DDFNP IDHDFÖ JWOIPNIC DKDYKD,CTUAJOGQLPLN OCVMCVC MKPNXCPWPPQON VCVVCTK XAUÅPÅV MGUMWUNKKVVQ KKMUW PKOKMG QAVPWUPJ KRKCRK,CTUAJOGQLPLN,OCVMCVC,MKPNXCPWPPQON,VCVVCTK,XAUÅPÅV,MGUMWUNKKVVQ,KKMUW,PKOKMG,QAVPWUPJ,KRKCRK,0,0,0,0,0,0,0,0,0
0,23,YMNWCHÖJEIEG HYOFYOY FDIGQYIPIIJHG OYOOYMD QWNTITO FÖNFPNGDDOOJ DDFNP IDHDFÖ JWOIPNIC DKDYKD,BSTÖINFPKOKM NBULBUB LJOMWBOVOOPNM UBUUBSJ WÖTZOZU LFTLVTMJJUUP JJLTV OJNJLF PÖUOVTOI JQJBQJ,BSTÖINFPKOKM,NBULBUB,LJOMWBOVOOPNM,UBUUBSJ,WÖTZOZU,LFTLVTMJJUUP,JJLTV,OJNJLF,PÖUOVTOI,JQJBQJ,0,0,0,0,0,0,0,0,0
0,24,YMNWCHÖJEIEG HYOFYOY FDIGQYIPIIJHG OYOOYMD QWNTITO FÖNFPNGDDOOJ DDFNP IDHDFÖ JWOIPNIC DKDYKD,ARSÄHMEOJNJL MATKATA KINLVANUNNOML TATTARI VÄSYNYT KESKUSLIITTO IIKSU NIMIKE OÄTNUSNH IPIAPI,ARSÄHMEOJNJL,MATKATA,KINLVANUNNOML,TATTARI,VÄSYNYT,KESKUSLIITTO,IIKSU,NIMIKE,OÄTNUSNH,IPIAPI,0,0,0,0,0,0,0,0,5
0,25,YMNWCHÖJEIEG HYOFYOY FDIGQYIPIIJHG OYOOYMD QWNTITO FÖNFPNGDDOOJ DDFNP IDHDFÖ JWOIPNIC DKDYKD,ÖQRÅGLDNIMIK LÖSJÖSÖ JHMKUÖMTMMNLK SÖSSÖQH UÅRXMXS JDRJTRKHHSSN HHJRT MHLHJD NÅSMTRMG HOHÖOH,ÖQRÅGLDNIMIK,LÖSJÖSÖ,JHMKUÖMTMMNLK,SÖSSÖQH,UÅRXMXS,JDRJTRKHHSSN,HHJRT,MHLHJD,NÅSMTRMG,HOHÖOH,0,0,0,0,0,0,0,0,0
0,26,YMNWCHÖJEIEG HYOFYOY FDIGQYIPIIJHG OYOOYMD QWNTITO FÖNFPNGDDOOJ DDFNP IDHDFÖ JWOIPNIC DKDYKD,ÄPQZFKCMHLHJ KÄRIÄRÄ IGLJTÄLSLLMKJ RÄRRÄPG TZQWLWR ICQISQJGGRRM GGIQS LGKGIC MZRLSQLF GNGÄNG,ÄPQZFKCMHLHJ,KÄRIÄRÄ,IGLJTÄLSLLMKJ,RÄRRÄPG,TZQWLWR,ICQISQJGGRRM,GGIQS,LGKGIC,MZRLSQLF,GNGÄNG,0,0,0,0,0,0,0,0,0
0,27,YMNWCHÖJEIEG HYOFYOY FDIGQYIPIIJHG OYOOYMD QWNTITO FÖNFPNGDDOOJ DDFNP IDHDFÖ JWOIPNIC DKDYKD,ÅOPYEJBLGKGI JÅQHÅQÅ HFKISÅKRKKLJI QÅQQÅOF SYPVKVQ HBPHRPIFFQQL FFHPR KFJFHB LYQKRPKE FMFÅMF,ÅOPYEJBLGKGI,JÅQHÅQÅ,HFKISÅKRKKLJI,QÅQQÅOF,SYPVKVQ,HBPHRPIFFQQL,FFHPR,KFJFHB,LYQKRPKE,FMFÅMF,0,0,0,0,0,0,0,0,0
0,28,YMNWCHÖJEIEG HYOFYOY FDIGQYIPIIJHG OYOOYMD QWNTITO FÖNFPNGDDOOJ DDFNP IDHDFÖ JWOIPNIC DKDYKD,ZNOXDIAKFJFH IZPGZPZ GEJHRZJQJJKIH PZPPZNE RXOUJUP GAOGQOHEEPPK EEGOQ JEIEGA KXPJQOJD ELEZLE,ZNOXDIAKFJFH,IZPGZPZ,GEJHRZJQJJKIH,PZPPZNE,RXOUJUP,GAOGQOHEEPPK,EEGOQ,JEIEGA,KXPJQOJD,ELEZLE,0,0,0,0,0,0,0,0,0
1,0,KGKTUZBY NPZZG OÅÅKE TQÅGOOQZUG QXQJOQN OZÅYEKEOGN OROFPT QVÅGOG XQZPZNG,KGKTUZBY NPZZG OÅÅKE TQÅGOOQZUG QXQJOQN OZÅYEKEOGN OROFPT QVÅGOG XQZPZNG,KGKTUZBY,NPZZG,OÅÅKE,TQÅGOOQZUG,QXQJOQN,OZÅYEKEOGN,OROFPT,QVÅGOG,XQZPZNG,0,0,0,0,0,0,0,0,0,0
1,1,KGKTUZBY NPZZG OÅÅKE TQÅGOOQZUG QXQJOQN OZÅYEKEOGN OROFPT QVÅGOG XQZPZNG,JFJSTYAX MOYYF NZZJD SPZFNNPYTF PWPINPM NYZXDJDNFM NQNEOS PUZFNF WPYOYMF,JFJSTYAX,MOYYF,NZZJD,SPZFNNPYTF,PWPINPM,NYZXDJDNFM,NQNEOS,PUZFNF,WPYOYMF,0,0,0,0,0,0,0,0,0,0
1,2,KGKTUZBY NPZZG OÅÅKE TQÅGOOQZUG QXQJOQN OZÅYEKEOGN OROFPT QVÅGOG XQZPZNG,IEIRSXÖW LNXXE MYYIC ROYEMMOXSE OVOHMOL MXYWCICMEL MPMDNR OTYEME VOXNXLE,IEIRSXÖW,LNXXE,MYYIC,ROYEMMOXSE,OVOHMOL,MXYWCICMEL,MPMDNR,OTYEME,VOXNXLE,0,0,0,0,0,0,0,0,0,0
1,3,KGKTUZBY NPZZG OÅÅKE TQÅGOOQZUG QXQJOQN OZÅYEKEOGN OROFPT QVÅGOG XQZPZNG,HDHQRWÄV KMWWD LXXHB QNXDLLNWRD NUNGLNK LWXVBHBLDK LOLCMQ NSXDLD UNWMWKD,HDHQRWÄV,KMWWD,LXXHB,QNXDLLNWRD,NUNGLNK,LWXVBHBLDK,LOLCMQ,NSXDLD,UNWMWKD,0,0,0,0,0,0,0,0,0,0
1,4,KGKTUZBY NPZZG OÅÅKE TQÅGOOQZUG QXQJOQN OZÅYEKEOGN OROFPT QVÅGOG XQZPZNG,GCGPQVÅU JLVVC KWWGA PMWCKKMVQC MTMFKMJ KVWUAGAKCJ KNKBLP MRWCKC TMVLVJC,GCGPQVÅU,JLVVC,KWWGA,PMWCKKMVQC,MTMFKMJ,KVWUAGAKCJ,KNKBLP,MRWCKC,TMVLVJC,0,0,0,0,0,0,0,0,0,0
1,5,KGKTUZBY NPZZG OÅÅKE TQÅGOOQZUG QXQJOQN OZÅYEKEOGN OROFPT QVÅGOG XQZPZNG,FBFOPUZT IKUUB JVVFÖ OLVBJJLUPB LSLEJLI JUVTÖFÖJBI JMJAKO LQVBJB SLUKUIB,FBFOPUZT,IKUUB,JVVFÖ,OLVBJJLUPB,LSLEJLI,JUVTÖFÖJBI,JMJAKO,LQVBJB,SLUKUIB,0,0,0,0,0,0,0,0,0,0
1,6,KGKTUZBY NPZZG OÅÅKE TQÅGOOQZUG QXQJOQN OZÅYEKEOGN OROFPT QVÅGOG XQZPZNG,EAENOTYS HJTTA IUUEÄ NKUAIIKTOA KRKDIKH ITUSÄEÄIAH ILIÖJN KPUAIA RKTJTHA,EAENOTYS,HJTTA,IUUEÄ,NKUAIIKTOA,KRKDIKH,ITUSÄEÄIAH,ILIÖJN,KPUAIA,RKTJTHA,0,0,0,0,0,0,0,0,0,0
1,7,KGKTUZBY NPZZG OÅÅKE TQÅGOOQZUG QXQJOQN OZÅYEKEOGN OROFPT QVÅGOG XQZPZNG,DÖDMNSXR GISSÖ HTTDÅ MJTÖHHJSNÖ JQJCHJG HSTRÅDÅHÖG HKHÄIM JOTÖHÖ QJSISGÖ,DÖDMNSXR,GISSÖ,HTTDÅ,MJTÖHHJSNÖ,JQJCHJG,HSTRÅDÅHÖG,HKHÄIM,JOTÖHÖ,QJSISGÖ,0,0,0,0,0,0,0,0,0,0
1,8,KGKTUZBY NPZZG OÅÅKE TQÅGOOQZUG QXQJOQN OZÅYEKEOGN OROFPT QVÅGOG XQZPZNG,CÄCLMRWQ FHRRÄ GSSCZ LISÄGGIRMÄ IPIBGIF GRSQZCZGÄF GJGÅHL INSÄGÄ PIRHRFÄ,CÄCLMRWQ,FHRRÄ,GSSCZ,LISÄGGIRMÄ,IPIBGIF,GRSQZCZGÄF,GJGÅHL,INSÄGÄ,PIRHRFÄ,0,0,0,0,0,0,0,0,0,0
1,9,KGKTUZBY NPZZG OÅÅKE TQÅGOOQZUG QXQJOQN OZÅYEKEOGN OROFPT QVÅGOG XQZPZNG,BÅBKLQVP EGQQÅ FRRBY KHRÅFFHQLÅ HOHAFHE FQRPYBYFÅE FIFZGK HMRÅFÅ OHQGQEÅ,BÅBKLQVP,EGQQÅ,FRRBY,KHRÅFFHQLÅ,HOHAFHE,FQRPYBYFÅE,FIFZGK,HMRÅFÅ,OHQGQEÅ,0,0,0,0,0,0,0,0,0,0
1,10,KGKTUZBY NPZZG OÅÅKE TQÅGOOQZUG QXQJOQN OZÅYEKEOGN OROFPT QVÅGOG XQZPZNG,AZAJKPUO DFPPZ EQQAX JGQZEEGPKZ GNGÖEGD EPQOXAXEZD EHEYFJ GLQZEZ NGPFPDZ,AZAJKPUO,DFPPZ,EQQAX,JGQZEEGPKZ,GNGÖEGD,EPQOXAXEZD,EHEYFJ,GLQZEZ,NGPFPDZ,0,0,0,0,0,0,0,0,0,0
1,11,KGKTUZBY NPZZG OÅÅKE TQÅGOOQZUG QXQJOQN OZÅYEKEOGN OROFPT QVÅGOG XQZPZNG,ÖYÖIJOTN CEOOY DPPÖW IFPYDDFOJY FMFÄDFC DOPNWÖWDYC DGDXEI FKPYDY MFOEOCY,ÖYÖIJOTN,CEOOY,DPPÖW,IFPYDDFOJY,FMFÄDFC,DOPNWÖWDYC,DGDXEI,FKPYDY,MFOEOCY,0,0,0,0,0,0,0,0,0,0
1,12,KGKTUZBY NPZZG OÅÅKE TQÅGOOQZUG QXQJOQN OZÅYEKEOGN OROFPT QVÅGOG XQZPZNG,ÄXÄHINSM BDNNX COOÄV HEOXCCENIX ELEÅCEB CNOMVÄVCXB CFCWDH EJOXCX LENDNBX,ÄXÄHINSM,BDNNX,COOÄV,HEOXCCENIX,ELEÅCEB,CNOMVÄVCXB,CFCWDH,EJOXCX,LENDNBX,0,0,0,0,0,0,0,0,0,0
1,13,KGKTUZBY NPZZG OÅÅKE TQÅGOOQZUG QXQJOQN OZÅYEKEOGN OROFPT QVÅGOG XQZPZNG,ÅWÅGHMRL ACMMW BNNÅU GDNWBBDMHW DKDZBDA BMNLUÅUBWA BEBVCG DINWBW KDMCMAW,ÅWÅGHMRL,ACMMW,BNNÅU,GDNWBBDMHW,DKDZBDA,BMNLUÅUBWA,BEBVCG,DINWBW,KDMCMAW,0,0,0,0,0,0,0,0,0,0
1,14,KGKTUZBY NPZZG OÅÅKE TQÅGOOQZUG QXQJOQN OZÅYEKEOGN OROFPT QVÅGOG XQZPZNG,ZVZFGLQK ÖBLLV AMMZT FCMVAACLGV CJCYACÖ ALMKTZTAVÖ ADAUBF CHMVAV JCLBLÖV,ZVZFGLQK,ÖBLLV,AMMZT,FCMVAACLGV,CJCYACÖ,ALMKTZTAVÖ,ADAUBF,CHMVAV,JCLBLÖV,0,0,0,0,0,0,0,0,0,0
1,15,KGKTUZBY NPZZG OÅÅKE TQÅGOOQZUG QXQJOQN OZÅYEKEOGN OROFPT QVÅGOG XQZPZNG,YUYEFKPJ ÄAKKU ÖLLYS EBLUÖÖBKFU BIBXÖBÄ ÖKLJSYSÖUÄ ÖCÖTAE BGLUÖU IBKAKÄU,YUYEFKPJ,ÄAKKU,ÖLLYS,EBLUÖÖBKFU,BIBXÖBÄ,ÖKLJSYSÖUÄ,ÖCÖTAE,BGLUÖU,IBKAKÄU,0,0,0,0,0,0,0,0,0,0
1,16,KGKTUZBY NPZZG OÅÅKE TQÅGOOQZUG QXQJOQN OZÅYEKEOGN OROFPT QVÅGOG XQZPZNG,XTXDEJOI ÅÖJJT ÄKKXR DAKTÄÄAJET AHAWÄAÅ ÄJKIRXRÄTÅ ÄBÄSÖD AFKTÄT HAJÖJÅT,XTXDEJOI,ÅÖJJT,ÄKKXR,DAKTÄÄAJET,AHAWÄAÅ,ÄJKIRXRÄTÅ,ÄBÄSÖD,AFKTÄT,HAJÖJÅT,0,0,0,0,0,0,0,0,0,0
1,17,KGKTUZBY NPZZG OÅÅKE TQÅGOOQZUG QXQJOQN OZÅYEKEOGN OROFPT QVÅGOG XQZPZNG,WSWCDINH ZÄIIS ÅJJWQ CÖJSÅÅÖIDS ÖGÖVÅÖZ ÅIJHQWQÅSZ ÅAÅRÄC ÖEJSÅS GÖIÄIZS,WSWCDINH,ZÄIIS,ÅJJWQ,CÖJSÅÅÖIDS,ÖGÖVÅÖZ,ÅIJHQWQÅSZ,ÅAÅRÄC,ÖEJSÅS,GÖIÄIZS,0,0,0,0,0,0,0,0,0,0
1,18,KGKTUZBY NPZZG OÅÅKE TQÅGOOQZUG QXQJOQN OZÅYEKEOGN OROFPT QVÅGOG XQZPZNG,VRVBCHMG YÅHHR ZIIVP BÄIRZZÄHCR ÄFÄUZÄY ZHIGPVPZRY ZÖZQÅB ÄDIRZR FÄHÅHYR,VRVBCHMG,YÅHHR,ZIIVP,BÄIRZZÄHCR,ÄFÄUZÄY,ZHIGPVPZRY,ZÖZQÅB,ÄDIRZR,FÄHÅHYR,0,0,0,0,0,0,0,0,0,0
